fecha,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda
2019-06-04,"166,50","12,42","9,61","4,00","2,80","2.772,00"
2019-06-05,"169,75","12,42","9,61","4,00","2,80","2.772,00"
2019-06-06,"170,65","12,42","9,61","4,00","2,80","2.772,00"
2019-06-07,"172,50","12,42","9,61","4,00","2,80","2.772,00"
2019-06-10,"172,70","12,42","9,61","4,00","2,80","2.772,00"
2019-06-11,"173,50","12,42","9,61","4,00","2,80","2.772,00"
2019-06-12,"174,90","12,42","9,61","4,00","2,80","2.772,00"
2019-06-13,"174,50","12,42","9,61","4,00","2,80","2.772,00"
2019-06-14,"173,20","12,42","9,61","4,00","2,80","2.772,00"
2019-06-17,"172,95","12,42","9,61","4,00","2,80","2.772,00"
2019-06-18,"177,60","12,42","9,61","4,00","2,80","2.772,00"
2019-06-19,"178,05","12,42","9,61","4,00","2,80","2.772,00"
2019-06-20,"176,50","12,42","9,61","4,00","2,80","2.772,00"
2019-06-21,"175,10","12,42","9,61","4,00","2,80","2.772,00"
2019-06-24,"177,35","12,42","9,61","4,00","2,80","2.772,00"
2019-06-25,"177,30","12,42","9,61","4,00","2,80","2.772,00"
2019-06-26,"172,65","12,42","9,61","4,00","2,80","2.772,00"
2019-06-27,"172,05","12,42","9,61","4,00","2,80","2.772,00"
2019-06-28,"174,30","12,42","9,61","4,00","2,80","2.772,00"
2019-07-01,"174,60","12,42","9,61","4,00","2,80","2.772,00"
2019-07-02,"176,25","12,42","9,61","4,00","2,80","2.772,00"
2019-07-03,"177,15","12,42","9,61","4,00","2,80","2.772,00"
2019-07-04,"177,55","12,42","9,61","4,00","2,80","2.772,00"
2019-07-05,"173,35","12,42","9,61","4,00","2,80","2.772,00"
2019-07-08,"173,50","12,42","9,61","4,00","2,80","2.772,00"
2019-07-09,"173,80","12,42","9,61","4,00","2,80","2.772,00"
2019-07-10,"173,10","12,42","9,61","4,00","2,80","2.772,00"
2019-07-11,"171,95","12,42","9,61","4,00","2,80","2.772,00"
2019-07-12,"173,20","12,42","9,61","4,00","2,80","2.772,00"
2019-07-15,"175,00","12,42","9,61","4,00","2,80","2.772,00"
2019-07-16,"175,55","12,42","9,61","4,00","2,80","2.772,00"
2019-07-17,"175,60","12,42","9,61","4,00","2,80","2.772,00"
2019-07-18,"174,10","12,42","9,61","4,00","2,80","2.772,00"
2019-07-19,"173,50","12,42","9,61","4,00","2,80","2.772,00"
2019-07-22,"174,00","12,42","9,61","4,00","2,80","2.772,00"
